location_ancillary_id,location_id,datetime,variable_name,value,unit
loan_1,lo_10,2012-11-07,treatment,Logged,
loan_2,lo_10,2013-07-17,treatment,Logged,
loan_3,lo_10,2014-07-07,treatment,Logged,
loan_4,lo_10,2015-06-29,treatment,Logged,
loan_9,lo_10,2003-01-06,treatment,Logged,
loan_10,lo_10,2004-07-16,treatment,Logged,
loan_11,lo_10,2005-06-20,treatment,Logged,
loan_12,lo_10,2005-06-22,treatment,Logged,
loan_13,lo_10,2005-07-18,treatment,Logged,
loan_14,lo_10,2005-07-20,treatment,Logged,
loan_15,lo_10,2006-06-07,treatment,Logged,
loan_16,lo_10,2006-03-08,treatment,Logged,
loan_17,lo_10,2007-07-17,treatment,Logged,
loan_18,lo_10,2007-07-19,treatment,Logged,
loan_19,lo_10,2008-11-07,treatment,Logged,
loan_20,lo_10,2009-07-17,treatment,Logged,
loan_21,lo_10,2010-07-23,treatment,Logged,
loan_22,lo_11,2012-11-07,treatment,Girdled,
loan_23,lo_11,2013-07-17,treatment,Girdled,
loan_24,lo_11,2014-07-07,treatment,Girdled,
loan_25,lo_11,2015-06-29,treatment,Girdled,
loan_30,lo_11,2003-01-06,treatment,Girdled,
loan_31,lo_11,2004-07-16,treatment,Girdled,
loan_32,lo_11,2005-06-20,treatment,Girdled,
loan_33,lo_11,2005-06-22,treatment,Girdled,
loan_34,lo_11,2005-07-18,treatment,Girdled,
loan_35,lo_11,2005-07-20,treatment,Girdled,
loan_36,lo_11,2006-06-07,treatment,Girdled,
loan_37,lo_11,2006-12-07,treatment,Girdled,
loan_38,lo_11,2006-03-08,treatment,Girdled,
loan_39,lo_11,2007-07-17,treatment,Girdled,
loan_40,lo_11,2007-07-19,treatment,Girdled,
loan_41,lo_11,2008-11-07,treatment,Girdled,
loan_42,lo_11,2009-07-17,treatment,Girdled,
loan_43,lo_11,2010-07-23,treatment,Girdled,
loan_44,lo_11,2011-07-20,treatment,Girdled,
loan_45,lo_12,2006-12-07,treatment,Girdled,
loan_46,lo_12,2012-11-07,treatment,HemlockControl,
loan_47,lo_12,2013-07-17,treatment,HemlockControl,
loan_48,lo_12,2014-07-07,treatment,HemlockControl,
loan_49,lo_12,2015-06-29,treatment,HemlockControl,
loan_54,lo_12,2003-01-06,treatment,HemlockControl,
loan_55,lo_12,2004-09-08,treatment,HemlockControl,
loan_56,lo_12,2005-06-20,treatment,HemlockControl,
loan_57,lo_12,2005-06-22,treatment,HemlockControl,
loan_58,lo_12,2005-07-18,treatment,HemlockControl,
loan_59,lo_12,2005-07-20,treatment,HemlockControl,
loan_60,lo_12,2006-06-07,treatment,HemlockControl,
loan_62,lo_12,2006-03-08,treatment,HemlockControl,
loan_63,lo_12,2007-07-17,treatment,HemlockControl,
loan_64,lo_12,2007-07-19,treatment,HemlockControl,
loan_65,lo_12,2008-11-07,treatment,HemlockControl,
loan_66,lo_12,2009-07-17,treatment,HemlockControl,
loan_67,lo_12,2010-07-23,treatment,HemlockControl,
loan_68,lo_12,2011-07-20,treatment,HemlockControl,
loan_69,lo_13,2012-11-07,treatment,HardwoodControl,
loan_70,lo_13,2013-07-17,treatment,HardwoodControl,
loan_71,lo_13,2014-07-07,treatment,HardwoodControl,
loan_72,lo_13,2015-06-29,treatment,HardwoodControl,
loan_77,lo_13,2003-01-06,treatment,HardwoodControl,
loan_78,lo_13,2004-09-08,treatment,HardwoodControl,
loan_79,lo_13,2005-06-27,treatment,HardwoodControl,
loan_80,lo_13,2005-06-29,treatment,HardwoodControl,
loan_81,lo_13,2005-07-20,treatment,HardwoodControl,
loan_82,lo_13,2005-07-27,treatment,HardwoodControl,
loan_83,lo_13,2006-06-07,treatment,HardwoodControl,
loan_84,lo_13,2006-03-08,treatment,HardwoodControl,
