observation_id,event_id,package_id,location_id,datetime,taxon_id,variable_name,value,unit
ob_1,ev_1,edi.193.1,lo_4,2003-01-06,tx_2,abundance,1,
ob_2,ev_2,edi.193.1,lo_4,2003-01-06,tx_3,abundance,1,
ob_3,ev_3,edi.193.1,lo_4,2003-01-06,tx_13,abundance,1,
ob_19,ev_19,edi.193.1,lo_5,2003-01-06,tx_3,abundance,1,
ob_23,ev_23,edi.193.1,lo_5,2003-01-06,tx_80,abundance,1,
ob_25,ev_25,edi.193.1,lo_5,2003-01-06,tx_74,abundance,1,
ob_31,ev_31,edi.193.1,lo_6,2003-01-06,tx_3,abundance,1,
ob_33,ev_33,edi.193.1,lo_6,2003-01-06,tx_73,abundance,1,
ob_35,ev_35,edi.193.1,lo_10,2003-01-06,tx_3,abundance,1,
ob_44,ev_44,edi.193.1,lo_8,2003-01-06,tx_14,abundance,1,
ob_45,ev_45,edi.193.1,lo_8,2003-01-06,tx_3,abundance,1,
ob_46,ev_46,edi.193.1,lo_8,2003-01-06,tx_62,abundance,1,
ob_47,ev_47,edi.193.1,lo_8,2003-01-06,tx_80,abundance,1,
ob_48,ev_48,edi.193.1,lo_8,2003-01-06,tx_2,abundance,1,
ob_57,ev_57,edi.193.1,lo_10,2003-01-06,tx_80,abundance,1,
ob_58,ev_58,edi.193.1,lo_10,2003-01-06,tx_40,abundance,1,
ob_60,ev_60,edi.193.1,lo_10,2003-01-06,tx_2,abundance,1,
ob_66,ev_66,edi.193.1,lo_11,2003-01-06,tx_3,abundance,1,
ob_67,ev_67,edi.193.1,lo_11,2003-01-06,tx_14,abundance,1,
ob_70,ev_70,edi.193.1,lo_9,2003-01-06,tx_3,abundance,1,
ob_71,ev_71,edi.193.1,lo_9,2003-01-06,tx_14,abundance,1,
ob_75,ev_75,edi.193.1,lo_9,2003-01-06,tx_2,abundance,1,
ob_78,ev_78,edi.193.1,lo_11,2003-01-06,tx_73,abundance,1,
ob_83,ev_83,edi.193.1,lo_11,2003-01-06,tx_2,abundance,1,
ob_90,ev_90,edi.193.1,lo_12,2003-01-06,tx_2,abundance,1,
ob_91,ev_91,edi.193.1,lo_12,2003-01-06,tx_3,abundance,1,
ob_95,ev_95,edi.193.1,lo_12,2003-01-06,tx_46,abundance,1,
ob_96,ev_96,edi.193.1,lo_12,2003-01-06,tx_14,abundance,1,
ob_109,ev_109,edi.193.1,lo_13,2003-01-06,tx_14,abundance,1,
ob_110,ev_110,edi.193.1,lo_13,2003-01-06,tx_3,abundance,1,
ob_111,ev_111,edi.193.1,lo_13,2003-01-06,tx_80,abundance,1,
ob_113,ev_113,edi.193.1,lo_13,2003-01-06,tx_37,abundance,1,
ob_116,ev_116,edi.193.1,lo_13,2003-01-06,tx_40,abundance,1,
ob_136,ev_136,edi.193.1,lo_13,2003-01-06,tx_62,abundance,1,
ob_141,ev_141,edi.193.1,lo_13,2003-01-06,tx_51,abundance,1,
ob_142,ev_142,edi.193.1,lo_7,2003-01-06,tx_14,abundance,1,
ob_144,ev_144,edi.193.1,lo_7,2003-01-06,tx_37,abundance,1,
ob_145,ev_145,edi.193.1,lo_7,2003-01-06,tx_3,abundance,1,
ob_147,ev_147,edi.193.1,lo_7,2003-01-06,tx_40,abundance,1,
ob_153,ev_153,edi.193.1,lo_7,2003-01-06,tx_39,abundance,1,
ob_180,ev_180,edi.193.1,lo_7,2003-01-06,tx_62,abundance,1,
ob_188,ev_188,edi.193.1,lo_7,2003-01-06,tx_46,abundance,1,
ob_190,ev_190,edi.193.1,lo_7,2003-01-06,tx_22,abundance,1,
ob_224,ev_224,edi.193.1,lo_4,2004-07-16,tx_3,abundance,4,
ob_226,ev_226,edi.193.1,lo_4,2004-07-16,tx_46,abundance,8,
ob_228,ev_228,edi.193.1,lo_4,2004-07-16,tx_74,abundance,3,
ob_229,ev_229,edi.193.1,lo_5,2004-07-16,tx_3,abundance,25,
ob_231,ev_231,edi.193.1,lo_6,2004-07-16,tx_3,abundance,1,
ob_232,ev_232,edi.193.1,lo_6,2004-07-16,tx_74,abundance,3,
ob_235,ev_235,edi.193.1,lo_6,2004-07-16,tx_14,abundance,2,
ob_237,ev_237,edi.193.1,lo_10,2004-07-16,tx_80,abundance,1,
ob_238,ev_238,edi.193.1,lo_10,2004-07-16,tx_2,abundance,9,
ob_239,ev_239,edi.193.1,lo_10,2004-07-16,tx_3,abundance,9,
ob_242,ev_242,edi.193.1,lo_10,2004-07-16,tx_46,abundance,18,
ob_243,ev_243,edi.193.1,lo_10,2004-07-16,tx_14,abundance,1,
ob_245,ev_245,edi.193.1,lo_10,2004-07-16,tx_40,abundance,1,
ob_250,ev_250,edi.193.1,lo_10,2004-07-16,tx_51,abundance,1,
ob_256,ev_256,edi.193.1,lo_11,2004-07-16,tx_14,abundance,1,
ob_257,ev_257,edi.193.1,lo_11,2004-07-16,tx_2,abundance,9,
ob_258,ev_258,edi.193.1,lo_11,2004-07-16,tx_3,abundance,9,
ob_259,ev_259,edi.193.1,lo_11,2004-07-16,tx_80,abundance,1,
ob_267,ev_267,edi.193.1,lo_12,2004-09-08,tx_2,abundance,22,
ob_268,ev_268,edi.193.1,lo_12,2004-09-08,tx_3,abundance,22,
ob_272,ev_272,edi.193.1,lo_12,2004-09-08,tx_46,abundance,13,
ob_273,ev_273,edi.193.1,lo_12,2004-09-08,tx_14,abundance,1,
ob_285,ev_285,edi.193.1,lo_13,2004-09-08,tx_3,abundance,2,
ob_286,ev_286,edi.193.1,lo_13,2004-09-08,tx_62,abundance,1,
ob_287,ev_287,edi.193.1,lo_13,2004-09-08,tx_80,abundance,2,
ob_291,ev_291,edi.193.1,lo_13,2004-09-08,tx_39,abundance,1,
ob_296,ev_296,edi.193.1,lo_13,2004-09-08,tx_14,abundance,2,
ob_304,ev_304,edi.193.1,lo_7,2004-09-08,tx_62,abundance,1,
ob_305,ev_305,edi.193.1,lo_7,2004-09-08,tx_3,abundance,2,
ob_306,ev_306,edi.193.1,lo_7,2004-09-08,tx_46,abundance,1,
ob_307,ev_307,edi.193.1,lo_7,2004-09-08,tx_14,abundance,1,
ob_308,ev_308,edi.193.1,lo_7,2004-09-08,tx_39,abundance,2,
ob_311,ev_311,edi.193.1,lo_7,2004-09-08,tx_30,abundance,1,
ob_312,ev_312,edi.193.1,lo_7,2004-09-08,tx_66,abundance,1,
ob_314,ev_314,edi.193.1,lo_7,2004-09-08,tx_22,abundance,1,
ob_315,ev_315,edi.193.1,lo_7,2004-09-08,tx_12,abundance,1,
ob_331,ev_331,edi.193.1,lo_4,2005-06-13,tx_72,abundance,4,
ob_332,ev_332,edi.193.1,lo_4,2005-06-13,tx_41,abundance,1,
ob_333,ev_333,edi.193.1,lo_5,2005-06-13,tx_14,abundance,2,
ob_334,ev_334,edi.193.1,lo_5,2005-06-13,tx_3,abundance,10,
ob_335,ev_335,edi.193.1,lo_5,2005-06-13,tx_13,abundance,1,
ob_337,ev_337,edi.193.1,lo_6,2005-06-13,tx_62,abundance,1,
ob_338,ev_338,edi.193.1,lo_6,2005-06-13,tx_74,abundance,1,
ob_339,ev_339,edi.193.1,lo_4,2005-06-15,tx_2,abundance,1,
ob_340,ev_340,edi.193.1,lo_4,2005-06-15,tx_3,abundance,1,
ob_341,ev_341,edi.193.1,lo_4,2005-06-15,tx_72,abundance,2,
ob_345,ev_345,edi.193.1,lo_5,2005-06-15,tx_3,abundance,2,
ob_347,ev_347,edi.193.1,lo_6,2005-06-15,tx_14,abundance,1,
ob_348,ev_348,edi.193.1,lo_10,2005-06-20,tx_3,abundance,21,
ob_349,ev_349,edi.193.1,lo_10,2005-06-20,tx_13,abundance,1,
ob_351,ev_351,edi.193.1,lo_10,2005-06-20,tx_14,abundance,7,
ob_352,ev_352,edi.193.1,lo_10,2005-06-20,tx_80,abundance,5,
ob_353,ev_353,edi.193.1,lo_11,2005-06-20,tx_3,abundance,11,
ob_354,ev_354,edi.193.1,lo_11,2005-06-20,tx_14,abundance,2,
ob_356,ev_356,edi.193.1,lo_12,2005-06-20,tx_3,abundance,3,
ob_358,ev_358,edi.193.1,lo_12,2005-06-20,tx_12,abundance,1,
ob_359,ev_359,edi.193.1,lo_12,2005-06-20,tx_41,abundance,1,
ob_360,ev_360,edi.193.1,lo_12,2005-06-20,tx_72,abundance,1,
ob_361,ev_361,edi.193.1,lo_10,2005-06-22,tx_3,abundance,16,
ob_362,ev_362,edi.193.1,lo_10,2005-06-22,tx_14,abundance,1,
ob_366,ev_366,edi.193.1,lo_10,2005-06-22,tx_2,abundance,1,
ob_369,ev_369,edi.193.1,lo_10,2005-06-22,tx_74,abundance,1,
ob_371,ev_371,edi.193.1,lo_11,2005-06-22,tx_3,abundance,16,
