observation_ancillary_id,event_id,variable_name,value,unit
oban_1,ev_1,trap.type,Pitfall,
oban_2,ev_2,trap.type,Pitfall,
oban_3,ev_3,trap.type,Pitfall,
oban_19,ev_19,trap.type,Pitfall,
oban_23,ev_23,trap.type,Hand sample,
oban_25,ev_25,trap.type,Litter,
oban_31,ev_31,trap.type,Bait,
oban_33,ev_33,trap.type,Hand sample,
oban_35,ev_35,trap.type,Pitfall,
oban_44,ev_44,trap.type,Hand sample,
oban_45,ev_45,trap.type,Hand sample,
oban_46,ev_46,trap.type,Hand sample,
oban_47,ev_47,trap.type,Bait,
oban_48,ev_48,trap.type,Bait,
oban_57,ev_57,trap.type,Hand sample,
oban_58,ev_58,trap.type,Hand sample,
oban_60,ev_60,trap.type,Bait,
oban_66,ev_66,trap.type,Pitfall,
oban_67,ev_67,trap.type,Pitfall,
oban_70,ev_70,trap.type,Bait,
oban_71,ev_71,trap.type,Hand sample,
oban_75,ev_75,trap.type,Bait,
oban_78,ev_78,trap.type,Litter,
oban_83,ev_83,trap.type,Hand sample,
oban_90,ev_90,trap.type,Pitfall,
oban_91,ev_91,trap.type,Pitfall,
oban_95,ev_95,trap.type,Hand sample,
oban_96,ev_96,trap.type,Bait,
oban_109,ev_109,trap.type,Bait,
oban_110,ev_110,trap.type,Bait,
oban_111,ev_111,trap.type,Bait,
oban_113,ev_113,trap.type,Litter,
oban_116,ev_116,trap.type,Hand sample,
oban_136,ev_136,trap.type,Litter,
oban_141,ev_141,trap.type,Pitfall,
oban_142,ev_142,trap.type,Bait,
oban_144,ev_144,trap.type,Bait,
oban_145,ev_145,trap.type,Bait,
oban_147,ev_147,trap.type,Hand sample,
oban_153,ev_153,trap.type,Hand sample,
oban_180,ev_180,trap.type,Litter,
oban_188,ev_188,trap.type,Hand sample,
oban_190,ev_190,trap.type,Hand sample,
oban_224,ev_224,trap.type,bait,
oban_226,ev_226,trap.type,hand,
oban_228,ev_228,trap.type,litter,
oban_229,ev_229,trap.type,hand,
oban_231,ev_231,trap.type,bait,
oban_232,ev_232,trap.type,hand,
oban_235,ev_235,trap.type,hand,
oban_237,ev_237,trap.type,bait,
oban_238,ev_238,trap.type,bait,
oban_239,ev_239,trap.type,bait,
oban_242,ev_242,trap.type,hand,
oban_243,ev_243,trap.type,hand,
oban_245,ev_245,trap.type,hand,
oban_250,ev_250,trap.type,pit,
oban_256,ev_256,trap.type,bait,
oban_257,ev_257,trap.type,bait,
oban_258,ev_258,trap.type,bait,
oban_259,ev_259,trap.type,bait,
oban_267,ev_267,trap.type,bait,
oban_268,ev_268,trap.type,bait,
oban_272,ev_272,trap.type,hand,
oban_273,ev_273,trap.type,hand,
oban_285,ev_285,trap.type,litter,
oban_286,ev_286,trap.type,litter,
oban_287,ev_287,trap.type,litter,
oban_291,ev_291,trap.type,bait,
oban_296,ev_296,trap.type,hand,
oban_304,ev_304,trap.type,litter,
oban_305,ev_305,trap.type,litter,
oban_306,ev_306,trap.type,litter,
oban_307,ev_307,trap.type,bait,
oban_308,ev_308,trap.type,bait,
oban_311,ev_311,trap.type,bait,
oban_312,ev_312,trap.type,litter,
oban_314,ev_314,trap.type,hand,
oban_315,ev_315,trap.type,hand,
oban_331,ev_331,trap.type,hand,
oban_332,ev_332,trap.type,litter,
oban_333,ev_333,trap.type,hand,
oban_334,ev_334,trap.type,hand,
oban_335,ev_335,trap.type,hand,
oban_337,ev_337,trap.type,litter,
oban_338,ev_338,trap.type,litter,
oban_339,ev_339,trap.type,pitfall,
oban_340,ev_340,trap.type,pitfall,
oban_341,ev_341,trap.type,pitfall,
oban_345,ev_345,trap.type,bait,
oban_347,ev_347,trap.type,bait,
oban_348,ev_348,trap.type,litter,
oban_349,ev_349,trap.type,hand,
oban_351,ev_351,trap.type,hand,
oban_352,ev_352,trap.type,hand,
oban_353,ev_353,trap.type,hand,
oban_354,ev_354,trap.type,hand,
oban_356,ev_356,trap.type,litter,
oban_358,ev_358,trap.type,hand,
oban_359,ev_359,trap.type,hand,
oban_360,ev_360,trap.type,hand,
oban_361,ev_361,trap.type,bait,
oban_362,ev_362,trap.type,bait,
oban_366,ev_366,trap.type,pitfall,
oban_369,ev_369,trap.type,pitfall,
oban_371,ev_371,trap.type,bait,
oban_373,ev_373,trap.type,bait,
oban_374,ev_374,trap.type,bait,
oban_375,ev_375,trap.type,bait,
oban_377,ev_377,trap.type,pitfall,
oban_379,ev_379,trap.type,hand,
oban_380,ev_380,trap.type,hand,
