id	element	context	subject	predicate_label	predicate_uri	object_label	object_uri
/dataset	/dataset	eml	dataset	is about	http://purl.obolibrary.org/obo/IAO_0000136		
/event.csv	/dataTable	dataset	event.csv	is about	http://purl.obolibrary.org/obo/IAO_0000136	Event	http://rs.tdwg.org/dwc/terms/Event
/event.csv/id	/dataTable/attribute	event.csv	id	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType		
/event.csv/eventID	/dataTable/attribute	event.csv	eventID	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	eventID	http://rs.tdwg.org/dwc/terms/eventID
/event.csv/datasetName	/dataTable/attribute	event.csv	datasetName	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	datasetName	http://rs.tdwg.org/dwc/terms/datasetName
/event.csv/samplingProtocol	/dataTable/attribute	event.csv	samplingProtocol	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	samplingProtocol	http://rs.tdwg.org/dwc/terms/samplingProtocol
/event.csv/eventDate	/dataTable/attribute	event.csv	eventDate	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	eventDate	http://rs.tdwg.org/dwc/terms/eventDate
/event.csv/decimalLatitude	/dataTable/attribute	event.csv	decimalLatitude	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	decimalLatitude	http://rs.tdwg.org/dwc/terms/decimalLatitude
/event.csv/decimalLongitude	/dataTable/attribute	event.csv	decimalLongitude	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	decimalLongitude	http://rs.tdwg.org/dwc/terms/decimalLongitude
/event.csv/georeferenceRemarks	/dataTable/attribute	event.csv	georeferenceRemarks	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	georeferenceRemarks	http://rs.tdwg.org/dwc/terms/georeferenceRemarks
/extendedmeasurementorfact.csv	/dataTable	dataset	extendedmeasurementorfact.csv	is about	http://purl.obolibrary.org/obo/IAO_0000136	MeasurementOrFact	http://rs.tdwg.org/dwc/terms/MeasurementOrFact
/extendedmeasurementorfact.csv/id	/dataTable/attribute	extendedmeasurementorfact.csv	id	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType		
/extendedmeasurementorfact.csv/eventID	/dataTable/attribute	extendedmeasurementorfact.csv	eventID	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	eventID	http://rs.tdwg.org/dwc/terms/eventID
/extendedmeasurementorfact.csv/occurrenceID	/dataTable/attribute	extendedmeasurementorfact.csv	occurrenceID	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	occurrenceID	http://rs.tdwg.org/dwc/terms/occurrenceID
