attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
occurrenceID	occurrence ID	character				
basisOfRecord	basis Of Record	character				
locationID	location ID	character				
decimalLatitude	Site latitude	numeric	degree		NA	Value not recorded or not available
decimalLongitude	Site longitude	numeric	degree		NA	Value not recorded or not available
eventDate	Date of survey	Date		yyyy-mm-dd		
eventRemark	event Remark	character				
samplingProtocol	"Water column a fish survey located: Canopy, Midwater, or Bottom."	character				
sampleSizeValue	The area or volume of the sampling size	numeric	number		NA	Value not recorded or not available
sampleSizeUnit	The unit for the sampling area or volume	character				
ScientificName	"Taxon name, usually species binomial or other taxon name"	character				
taxonID	Taxon code assigned by an authoritative source	character				
nameAccordingtoID	Name of the athority or registry assigning the Authoritative Taxon Code	character				
organismQuantity	Number of organisms counted	numeric	number		NA	Value not recorded or not available
occurrenceStatus	occurrentce Status	character				
organismQuantityType	organismQuantityType	character				
