"id"	"derived_id"	"title_qualifier"	"abstract_qualifier"	"description_qualifier"
"DP1.20166.001"	"neon.ecocomdp.20166.001.001"	"ALGAE from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10022.001"	"neon.ecocomdp.10022.001.001"	"BEETLES from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10003.001"	"neon.ecocomdp.10003.001.001"	"BIRDS from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.20107.001"	"neon.ecocomdp.20107.001.001"	"FISH from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.20120.001"	"neon.ecocomdp.20120.001.001"	"MACROINVERTEBRATES  from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10043.001"	"neon.ecocomdp.10043.001.001"	"MOSQUITOES from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10058.001"	"neon.ecocomdp.10058.001.001"	"PLANTS from the NEON data product: "	"This data package reports relative dominance calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10072.001"	"neon.ecocomdp.10072.001.001"	"SMALL_MAMMALS from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10093.001"	"neon.ecocomdp.10093.001.001"	"TICKS from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.20219.001"	"neon.ecocomdp.20219.001.001"	"ZOOPLANKTON from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10022.001_herps"	"neon.ecocomdp.10022.001.002"	"HERPTILES (bycatch) from the NEON data product: "	"This data package reports abundances standardized to sampling effort calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
"DP1.10092.001"	"neon.ecocomdp.10092.001.001"	"TICK_PATHOGENS from the NEON data product: "	"This data package reports positive test rates calcualted from the NEON L1 data product described below: "	"For a description of how NEON L1 data were mapped to the ecocomDP format, see 'Tidy NEON organismal data for biodiversity research' by Li et al. (in prep)."
