L1_id,L0_id,min_year,max_year,n_years,std_dev_interval_betw_years,N,E,S,W,geo_extent_bounding_box_m2,class
edi.359.1,knb-lter-and.4781.2,2009,2016,7,0.17,44.281997,-122.111592,44.201982,-122.260773,105949862.281998,Aves|Mammalia
edi.262.1,knb-lter-arc.10272.4,2003,2012,9,0.19,68.6833,-149.072,68.5224,-150.023,695172010.521118,Branchiopoda|Maxillopoda
edi.356.1,knb-lter-vcr.67.20,1979,1999,20,0.03,40.1707412093728,-79.2601776123047,40.1707412093728,-79.2601776123047,0,Mammalia
edi.323.1,knb-lter-vcr.70.24,1993,2012,19,1.66,37.453103,-75.657464,37.4453412,-75.675944,1408652.91073227,Magnoliopsida
edi.327.1,knb-lter-sgs.136.17,1994,2006,12,1.43,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,Mammalia
edi.280.1,knb-lter-arc.10317.7,1993,2015,22,0.41,68.6588,-149.387,68.6374,-149.424,3590162.29705429,Bryopsida|Cyanophyceae|Chlorophyceae|Florideophyceae|Jungermanniopsida|Bacillariophyceae|Insecta|Ulvophyceae
edi.324.1,knb-lter-vcr.166.17,1992,2011,19,0,37.99,-75.11,37.89,-75.32,204895508.054962,Aves
edi.329.1,knb-lter-sgs.137.17,1994,2000,6,0.17,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,Mammalia
edi.325.1,knb-lter-sgs.700.1,1983,2008,25,0,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,Magnoliopsida
edi.251.1,knb-lter-bnz.504.7,1975,2013,38,0.41,64.76594,-148.2854,64.69559,-148.32123,13390672.3783913,Insecta
edi.351.1,knb-lter-bnz.175.20,1975,2008,33,0.64,65.17091866,-147,64.64826898,-148.3834237,3815538468.56458,
edi.320.1,knb-lter-bnz.530.9,1975,2017,42,0.53,65.17091866,-147.4913325,64.64826898,-148.3834237,2460525557.63293,Magnoliopsida
edi.124.4,knb-lter-cdr.386.8,1975,2017,42,0.53,45.44138,-93.16289,45.384865,-93.22445,30267238.0931206,Magnoliopsida|Polypodiopsida
edi.328.1,knb-lter-sgs.134.17,1998,2006,8,0.22,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,
edi.350.1,knb-lter-nin.6.1,1972,1992,20,0.02,33.357,-79.1042,33.2125,-79.2936,282753636.858826,
edi.330.1,knb-lter-sgs.520.8,1975,2011,36,0.9,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,Magnoliopsida
edi.331.1,knb-lter-sgs.521.7,1982,2011,29,0.5,40.8575,-104.730556,40.800278,-104.785833,29629600.8816757,Magnoliopsida
edi.339.1,knb-lter-knz.26.10,1981,2009,28,0.14,39.096,-96.5481,39.0659,-96.6145,19199011.008606,Aves
edi.344.1,knb-lter-knz.130.4,1995,2018,23,0.17,39.1019,-96.5576,39.0701,-96.59,9896595.79050446,Teleostei|Malacostraca
edi.353.1,knb-lter-nin.9.1,1981,1992,11,0.01,33.357,-79.1002,33.1925,-79.2936,328724093.693878,Polychaeta
