id,eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementUnit
1,edi.100.1.ev_1,occ.edi.100.1.1,abundance,NA,2,number
2,edi.100.1.ev_1,occ.edi.100.1.2,abundance,NA,2,number
3,edi.100.1.ev_1,occ.edi.100.1.3,abundance,NA,1,number
4,edi.100.1.ev_1,occ.edi.100.1.4,abundance,NA,2,number
5,edi.100.1.ev_1,occ.edi.100.1.5,abundance,NA,1,number
6,edi.100.1.ev_1,occ.edi.100.1.6,abundance,NA,1,number
7,edi.100.1.ev_1,occ.edi.100.1.7,abundance,NA,1,number
8,edi.100.1.ev_1,occ.edi.100.1.8,abundance,NA,1,number
9,edi.100.1.ev_1,occ.edi.100.1.9,abundance,NA,1,number
10,edi.100.1.ev_1,occ.edi.100.1.10,abundance,NA,1,number
11,edi.100.1.ev_1,occ.edi.100.1.11,abundance,NA,1,number
12,edi.100.1.ev_1,occ.edi.100.1.12,abundance,NA,1,number
13,edi.100.1.ev_1,occ.edi.100.1.13,abundance,NA,2,number
14,edi.100.1.ev_1,occ.edi.100.1.14,abundance,NA,1,number
15,edi.100.1.ev_1,occ.edi.100.1.15,abundance,NA,1,number
16,edi.100.1.ev_1,occ.edi.100.1.16,abundance,NA,1,number
17,edi.100.1.ev_1,occ.edi.100.1.17,abundance,NA,2,number
18,edi.100.1.ev_1,occ.edi.100.1.18,abundance,NA,1,number
19,edi.100.1.ev_1,occ.edi.100.1.19,abundance,NA,1,number
20,edi.100.1.ev_1,occ.edi.100.1.20,abundance,NA,1,number
21,edi.100.1.ev_1,occ.edi.100.1.21,abundance,NA,1,number
22,edi.100.1.ev_1,occ.edi.100.1.22,abundance,NA,1,number
23,edi.100.1.ev_1,occ.edi.100.1.23,abundance,NA,1,number
24,edi.100.1.ev_1,occ.edi.100.1.24,abundance,NA,2,number
25,edi.100.1.ev_1,occ.edi.100.1.25,abundance,NA,1,number
26,edi.100.1.ev_2,occ.edi.100.1.26,abundance,NA,1,number
27,edi.100.1.ev_2,occ.edi.100.1.27,abundance,NA,2,number
28,edi.100.1.ev_2,occ.edi.100.1.28,abundance,NA,2,number
29,edi.100.1.ev_2,occ.edi.100.1.29,abundance,NA,2,number
30,edi.100.1.ev_2,occ.edi.100.1.30,abundance,NA,1,number
31,edi.100.1.ev_2,occ.edi.100.1.31,abundance,NA,1,number
32,edi.100.1.ev_2,occ.edi.100.1.32,abundance,NA,2,number
33,edi.100.1.ev_2,occ.edi.100.1.33,abundance,NA,2,number
34,edi.100.1.ev_2,occ.edi.100.1.34,abundance,NA,1,number
35,edi.100.1.ev_2,occ.edi.100.1.35,abundance,NA,1,number
36,edi.100.1.ev_2,occ.edi.100.1.36,abundance,NA,1,number
37,edi.100.1.ev_2,occ.edi.100.1.37,abundance,NA,1,number
38,edi.100.1.ev_2,occ.edi.100.1.38,abundance,NA,1,number
39,edi.100.1.ev_2,occ.edi.100.1.39,abundance,NA,1,number
40,edi.100.1.ev_2,occ.edi.100.1.40,abundance,NA,1,number
41,edi.100.1.ev_2,occ.edi.100.1.41,abundance,NA,1,number
42,edi.100.1.ev_2,occ.edi.100.1.42,abundance,NA,1,number
43,edi.100.1.ev_2,occ.edi.100.1.43,abundance,NA,1,number
44,edi.100.1.ev_2,occ.edi.100.1.44,abundance,NA,1,number
45,edi.100.1.ev_3,occ.edi.100.1.45,abundance,NA,2,number
46,edi.100.1.ev_3,occ.edi.100.1.46,abundance,NA,3,number
47,edi.100.1.ev_3,occ.edi.100.1.47,abundance,NA,1,number
48,edi.100.1.ev_3,occ.edi.100.1.48,abundance,NA,1,number
49,edi.100.1.ev_3,occ.edi.100.1.49,abundance,NA,2,number
50,edi.100.1.ev_3,occ.edi.100.1.50,abundance,NA,1,number
51,edi.100.1.ev_3,occ.edi.100.1.51,abundance,NA,1,number
52,edi.100.1.ev_3,occ.edi.100.1.52,abundance,NA,1,number
53,edi.100.1.ev_3,occ.edi.100.1.53,abundance,NA,2,number
54,edi.100.1.ev_3,occ.edi.100.1.54,abundance,NA,1,number
55,edi.100.1.ev_3,occ.edi.100.1.55,abundance,NA,1,number
56,edi.100.1.ev_3,occ.edi.100.1.56,abundance,NA,1,number
57,edi.100.1.ev_3,occ.edi.100.1.57,abundance,NA,1,number
